Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CD,BV,CS,DP,CH,CA*CA,CA*BT,CA*BU,CA*CD,CA*BV,CA*CS,CA*DP,CA*CH,BT*CA,BT*BT,BT*BU,BT*CD,BT*BV,BT*CS,BT*DP,BT*CH,BU*CA,BU*BT,BU*BU,BU*CD,BU*BV,BU*CS,BU*DP,BU*CH,CD*CA,CD*BT,CD*BU,CD*CD,CD*BV,CD*CS,CD*DP,CD*CH,BV*CA,BV*BT,BV*BU,BV*CD,BV*BV,BV*CS,BV*DP,BV*CH,CS*CA,CS*BT,CS*BU,CS*CD,CS*BV,CS*CS,CS*DP,CS*CH,DP*CA,DP*BT,DP*BU,DP*CD,DP*BV,DP*CS,DP*DP,DP*CH,CH*CA,CH*BT,CH*BU,CH*CD,CH*BV,CH*CS,CH*DP,CH*CH
CA,0.4945539324050425,0.02279906,2.4490204699499598e-104,0.00051979715,0.00030594677,0.00026124826,6.5865024e-05,0.00016150424,2.5586778e-05,-8.274732e-06,0.00018987912,1.5295484e-05,-0.0004732151,-0.0004983583,-0.00116262,-0.0004674502,-0.007190048,-0.00071404653,-0.00059358205,-0.0001142485,-0.00026585686,-0.0002611373,-0.00014243639,-0.00027808815,-0.00064882316,0.00032266782,4.3199456e-05,-0.0001658382,-0.00021441837,-0.0002652355,-6.826962e-05,-0.00023195018,-2.8446544e-05,-0.0004998392,9.262664e-05,-1.0393339e-05,-4.7215468e-05,-4.7737143e-05,-0.00012108471,-4.1496463e-05,-1.6318727e-05,-0.00011058491,-3.2297863e-05,-0.00022123942,-0.00013009549,-0.00014030757,-0.00024919823,-0.000121803394,-0.00047863918,-0.00022074835,-6.559819e-05,5.0627877e-05,-1.3055476e-05,-1.36950575e-05,-1.8597872e-05,-3.595924e-07,-0.0001690913,-4.1319643e-05,5.0582443e-05,5.673965e-07,0.00013144739,2.3134326e-05,2.9678155e-05,2.4248078e-05,0.0004537349,-2.201871e-05,-1.2323306e-05,6.33235e-05,-0.00016208945,-0.00016862791,-0.00044657703,-0.0001961421,-0.00021771889,-0.0007927402,-9.7705895e-05
BT,1.7507715824780623,0.059596777,1.0819958691542098e-189,0.00030594677,0.0035517758,0.0030256812,0.0007352499,0.0013173176,0.00032793626,0.00023503829,0.0010684372,-0.00084513304,-0.00018186384,-0.00015935217,-0.00034623497,-0.00015493325,0.0003188129,-0.00011678395,-0.00019420909,-0.0020159814,-0.0031362157,-0.002942668,-0.0014138044,-0.0037980427,-0.006647523,-0.0068536783,0.0013638885,6.226709e-05,-0.0025301087,-0.003109605,-0.00017022366,-0.002633439,-0.0003920181,-0.011481487,0.0026077405,-0.00051940326,-0.0004959034,-0.00051566045,-0.0014236958,-0.0005107421,-0.0011868828,-0.0009920244,-0.00055689656,-0.0010645798,-0.0010065619,-0.000989017,-0.0014244093,-0.0010463153,-0.0015090556,-0.008185651,-0.0012982539,-0.00023974625,-0.0002041957,-0.00021697863,-0.00054711505,-0.00025702053,-0.0010696102,-0.0005083015,-2.0262478e-05,-0.00013005351,0.00010536704,-3.1012896e-05,-0.0005773403,-6.314316e-05,-0.0025868288,-0.00016894811,-0.0008300359,-0.00067281513,-0.00070059934,-0.0007802464,-0.0012084193,-0.0009500957,-0.0005835657,-0.0074580545,-0.0007193296
BU,1.519364971138624,0.0553995,1.3579239055545974e-165,0.00026124826,0.0030256812,0.0030691046,0.0006956142,0.0012313178,0.00030578274,0.00023058028,0.0010068164,-0.0008448005,-0.00013721836,-0.000108092485,-0.00025333595,-0.00012316137,0.00094421185,-5.9313294e-05,-0.00015406645,-0.0011139333,-0.0027226084,-0.0024089885,-0.00017730576,-0.0028884844,-0.0019441077,-0.00049194955,0.003107809,0.00016229632,-0.0025536914,-0.0031920713,-8.695607e-05,-0.0026279201,-0.00076027756,-0.011356133,0.0028819982,-0.00049566175,-0.0004948061,-0.0004801015,-0.0013512813,-0.00048402365,-0.0010987802,-0.00093170104,-0.0005187773,-0.00095071323,-0.00094018166,-0.00089380454,-0.0012957443,-0.0009867804,-0.0014312847,-0.0074932324,-0.0012143994,-0.00023024126,-0.00019054064,-0.00019190025,-0.0005046843,-0.00023808167,-0.0010185877,-0.00047060513,-2.0091033e-05,-0.00012775304,0.0010844412,-2.7419432e-05,-0.00057427905,-6.194567e-05,-0.0025979136,-0.00015012913,-0.0008196261,-0.00063647004,-0.00069196505,-0.0007071269,-0.001083137,-0.00088637316,-0.0005835986,-0.0070493636,-0.0007366923
CD,0.7477773586853351,0.026630405,1.7273314840052898e-173,6.5865024e-05,0.0007352499,0.0006956142,0.00070917845,0.00037027482,0.00026351283,9.0660506e-05,0.00030932084,-0.00026425326,-3.5740588e-05,-3.9220384e-05,6.9359434e-05,-2.1220725e-05,-0.0004026232,-2.3679837e-05,-4.2503725e-05,-0.0003421494,-0.0006554133,-0.0006041597,-0.00025761942,-0.0006869416,0.00012164491,-6.498322e-05,0.00026568054,-0.00010564437,-0.00058534014,-0.00068533584,-0.00023403985,-0.0005982862,2.3041759e-05,-0.0021144378,0.00022723961,-0.0005062291,-0.0006531209,-0.0006064478,-0.0013342097,-0.00059920986,-0.0018917364,-0.0009996867,-0.0005635906,-0.0002856358,-0.00030387676,-0.00030284692,-0.00036829643,-0.000299952,0.0002836507,-0.0016215284,-0.00038769902,-0.0002266633,-0.00023785299,-0.0002389656,-0.00043659008,-0.00022266954,-0.00086521,-0.00043006925,-0.0004448129,-4.7870984e-05,0.00014488467,-3.9735034e-05,-0.00016594828,-3.964586e-05,-0.00093398005,-0.00016039095,-0.00022922021,-0.00010742717,-0.00023719113,-0.00025080016,0.0017633857,-0.00028485214,3.9141592e-05,-0.0012163408,-0.00024510658
BV,1.0930971782347754,0.028742043,0.0,0.00016150424,0.0013173176,0.0012313178,0.00037027482,0.00082610507,0.00016578162,0.00014636562,0.00064360903,-0.00044739153,-0.00010479254,-0.00010391903,-0.00017732776,-6.6006614e-05,0.00019373749,-5.8398993e-05,-6.898135e-05,-0.0005173938,-0.0011702222,-0.0010830114,-0.00039380864,-0.0012112795,-0.0004607092,-0.00013719004,0.00046154342,-6.927947e-05,-0.0010388937,-0.0011939011,-0.00039624565,-0.0010884382,-0.00013292198,-0.0054406463,0.00043906478,-0.00025653286,-0.0002833166,-0.00027658584,-0.000708243,-0.00023980076,-0.0006615413,-0.00050869054,-0.00030212896,-0.0006651923,-0.0007123403,-0.00068766956,-0.0009864982,-0.0006322082,-0.0015034438,-0.0059882426,-0.0008600137,-0.00010880207,-0.00011642069,-0.00012390327,-0.00027781783,-0.00013203309,-0.00053733797,-0.00025400327,8.31353e-05,-8.003022e-05,0.00013047807,-5.999867e-05,-0.00038045325,-5.461272e-05,-0.0016679692,-6.799759e-05,-0.0005148,-0.00037199637,-0.00051918405,-0.00053534243,-0.0011126233,-0.0005864671,-0.00048599724,-0.0048107156,-0.0003377469
CS,0.37498077369171984,0.013489204,4.512191605699101e-170,2.5586778e-05,0.00032793626,0.00030578274,0.00026351283,0.00016578162,0.00018195863,3.5170175e-05,0.00013513207,3.78495e-05,-6.5904787e-06,-1.6790034e-05,-1.9279423e-05,-2.051224e-06,-0.0020766188,-4.8105667e-05,-1.1236419e-05,-0.0001629859,-0.000291627,-0.0002705643,-0.00012530373,-0.000305325,4.0828385e-05,-6.703539e-06,9.136947e-05,-4.575359e-05,-0.0002570133,-0.00030092042,-0.00011317208,-0.00026374328,-5.6523404e-06,-0.00086931384,8.5212785e-05,-0.00019397335,-0.0002395512,-0.00022363111,-0.0005003086,-0.00021883141,-0.0005341274,-0.00037408998,-0.00020524435,-0.00014423896,-0.00013604602,-0.00013629497,-0.00018845685,-0.00013254365,0.00014756923,-0.00064763916,-0.00018819139,-0.00017178035,-0.0001716762,-0.00017251546,-0.00035185524,-0.00016411544,-0.0005464895,-0.000345128,-0.00032940504,-2.1610354e-05,7.495722e-05,-1.1297079e-05,-7.596091e-05,-1.1953167e-05,-0.00055657525,-4.2241103e-05,-9.17802e-05,-6.944627e-05,-0.00010331473,-0.000109737884,0.0005326407,-0.00012657122,-2.993311e-05,-0.00040943606,-0.000106274005
DP,0.46221983232390607,0.015241743,5.221031459463676e-202,-8.274732e-06,0.00023503829,0.00023058028,9.0660506e-05,0.00014636562,3.5170175e-05,0.00023231072,0.00014922873,-8.01808e-05,1.8527384e-05,8.038364e-06,6.717715e-05,2.2262979e-05,0.00050750206,1.5602078e-05,1.4357954e-05,9.2389695e-05,-0.00021115351,-0.00017858962,-0.00024626823,-0.00021820706,1.6065722e-05,-0.00042720695,-0.00021721357,0.00021114202,-0.00020824966,-0.00017408431,-0.0003696032,-0.00020809018,-0.00013409834,-0.0006842498,-0.0002750531,-6.882735e-05,-7.5631455e-05,-6.985615e-05,-0.00015728037,-6.687462e-05,-0.00027692027,-0.00012284728,-8.613371e-05,-3.55116e-05,-0.00012562082,-0.00010929269,-0.00029847902,-0.00010165885,-0.0007084687,-0.00020030327,-0.00017749499,-2.5623045e-05,-2.717311e-05,-2.3634791e-05,-5.3277818e-05,-2.0194242e-05,-0.00013326498,-2.6475082e-05,-3.3447188e-05,-0.00011922245,-0.00033346115,-0.0001838544,-0.0006248498,-0.00019512318,-0.0024297761,-7.499832e-05,-0.0006724173,-3.780698e-05,-0.00012828622,-0.000113560694,-7.8861915e-05,-6.689597e-05,-0.00015845912,0.0010314053,-0.0003885154
CH,0.910560107238174,0.02914757,3.0850674829613467e-214,0.00018987912,0.0010684372,0.0010068164,0.00030932084,0.00064360903,0.00013513207,0.00014922873,0.0008495808,-0.00040843204,-0.00014215751,-0.0001262653,-0.00025054888,-0.00012668098,-0.00044547784,-0.000111089845,-0.0001525953,-0.00045008503,-0.00094468327,-0.00087297976,-0.00033030953,-0.0009685063,-0.0010005519,8.315487e-06,-0.00048618254,-0.00016623744,-0.00084321824,-0.0009835253,-0.00034520755,-0.00083151885,-0.00018524351,-0.0037666478,-0.00045596174,-0.00020957954,-0.00023822182,-0.00022975577,-0.000594944,-0.00020411538,-0.00043692288,-0.00041973736,-0.0003060277,-0.0003639774,-0.00054097443,-0.0005417026,-0.00061411445,-0.0005296586,-0.0025953462,-0.0020251295,-0.0004478519,-9.1128524e-05,-9.422831e-05,-9.93151e-05,-0.00019862139,-8.9878646e-05,-0.0005663383,-0.00021452428,0.0001601908,-7.330628e-05,0.00017190822,-7.793743e-05,-0.0003674261,-6.6331295e-06,-0.0017668352,-8.160334e-05,-0.0006929068,0.00064396806,-0.00075468863,-0.0007121748,-0.0017219689,-0.0006613277,3.427395e-05,-0.0063769985,-0.0019053034
CA*CA,-1.4542020557165931,0.102139674,5.369770315945455e-46,1.5295484e-05,-0.00084513304,-0.0008448005,-0.00026425326,-0.00044739153,3.78495e-05,-8.01808e-05,-0.00040843204,0.010432513,8.727268e-05,-0.0003947378,-0.0032781991,-0.0003417286,-0.04594837,-0.004109567,3.389919e-05,0.00012735913,0.0007751981,0.0006773789,-0.0003609544,0.0007557735,-0.0018212948,0.00038702448,-0.00062860776,0.00033720318,0.00071090664,0.0008487666,-0.00016501328,0.00066016073,0.00017796448,0.004284619,-0.0003875554,0.00019875364,0.00020995384,0.00018491622,0.0005331336,0.00018650567,0.00045285784,0.00038051873,-5.3005457e-05,8.768477e-06,0.00038278816,0.00036665544,-8.330833e-05,0.00038821902,-0.001702779,0.0041404394,0.00042372322,-0.00036717692,-6.207834e-05,-9.302835e-05,-0.00016975506,-4.0733852e-05,7.914092e-05,-0.00011271751,-0.00053377874,5.4735447e-05,-0.00018222792,2.7816945e-05,0.00024449773,2.1784945e-06,0.00088920776,-1.9479798e-05,0.00023292364,0.00018455749,0.00032204902,0.00034705893,-0.00029274495,0.00039797297,-0.0005509691,0.0037126106,0.00012193287
CA*BT,-0.4198811355569827,0.02546663,4.5121693655654774e-61,-0.0004732151,-0.00018186384,-0.00013721836,-3.5740588e-05,-0.00010479254,-6.5904787e-06,1.8527384e-05,-0.00014215751,8.727268e-05,0.00064854923,0.00043498827,0.0010657609,0.00043269253,0.0050026216,0.0006400754,0.00056898425,0.0010916621,0.00016442615,0.0001467996,0.00011625036,0.00015478706,0.0002832236,-0.00020136054,3.415408e-05,0.00016670683,0.000114657865,0.00013402953,6.204628e-05,0.00012036691,4.6753757e-05,9.394033e-05,3.501142e-05,-9.960161e-06,4.813672e-06,2.612237e-05,6.473888e-05,2.119048e-05,-3.1104064e-05,6.819074e-05,6.185563e-06,0.0001253998,9.04442e-05,9.413471e-05,0.00017490565,7.94197e-05,0.000334754,-4.0840016e-05,2.1927874e-05,-6.593504e-05,-2.158123e-05,7.5521535e-07,-1.5957465e-05,-1.3476586e-05,0.00011264233,8.127439e-06,-6.109754e-05,-4.271141e-06,-0.00015676535,-2.4935216e-05,-5.505504e-05,-2.914638e-05,-0.0005411478,1.2032838e-05,-2.6084666e-05,-0.00013400275,0.00015072929,0.00013011265,0.00037614405,0.00015573695,0.00019013745,0.00054809975,6.668144e-05
CA*BU,-0.31207859400998034,0.024634799,8.872550269490624e-37,-0.0004983583,-0.00015935217,-0.000108092485,-3.9220384e-05,-0.00010391903,-1.6790034e-05,8.038364e-06,-0.0001262653,-0.0003947378,0.00043498827,0.00060687336,0.0012273721,0.00045967317,0.0079329135,0.00079916144,0.0005427748,0.00018396825,0.00012934544,0.0001640729,0.00015531288,0.0001314706,0.00040599288,-0.00032445678,5.0482475e-05,0.00019864815,8.450788e-05,0.00011628887,8.4298954e-05,0.0001003101,-7.595949e-05,-0.00039190747,-3.1135235e-06,-1.0972361e-05,2.9872015e-05,3.163648e-05,6.597808e-05,2.3171116e-05,3.3649376e-05,7.41299e-05,2.6302609e-05,0.0003359994,8.462292e-05,0.000112438,0.00020313034,6.766728e-05,0.00015215807,-0.00027580996,-7.337679e-06,-4.7918656e-05,1.0842702e-05,4.696652e-06,9.017122e-06,-3.9988754e-06,0.00013404564,2.4389514e-05,-9.933692e-06,-8.01188e-06,-6.858145e-05,-1.7514074e-05,-3.2339718e-05,-1.3258629e-05,-0.0002707432,2.193113e-05,-5.393308e-06,0.000244154,0.00010773449,0.00013850651,0.00029660817,0.0001255393,9.9098805e-05,-2.9472898e-05,-4.641951e-05
CA*CD,-0.3611397564708886,0.06862507,1.4210600485849744e-07,-0.00116262,-0.00034623497,-0.00025333595,6.9359434e-05,-0.00017732776,-1.9279423e-05,6.717715e-05,-0.00025054888,-0.0032781991,0.0010657609,0.0012273721,0.0047094007,0.0012174166,0.021846002,0.0023343053,0.0014347252,0.00010595569,0.00028946795,0.00031213858,0.00048706844,0.0003220058,0.001433214,-0.00084010104,1.103896e-05,0.0002580186,0.00020101796,0.0002630252,0.0002255406,0.00025646904,-0.00010796186,-0.0005812378,-0.00014393717,-0.00013259728,-9.066144e-05,-6.8908994e-05,-0.00013736244,-7.972275e-05,-0.000680293,-8.106274e-05,8.7321336e-05,0.0003767398,0.00013568826,0.00016143221,0.0006313835,0.00012329362,0.0011537983,-0.0012050006,-2.8870165e-05,-6.7659865e-05,7.697163e-07,1.7354241e-05,-1.884926e-05,-3.247442e-05,0.00033073226,4.9790095e-05,-4.5402317e-06,-3.2278298e-05,-0.0002707601,-8.295553e-05,-0.00020787504,-8.3827916e-05,-0.0011748705,2.1332888e-05,-0.00012326527,-0.00021104063,0.0002208725,0.00023443307,0.0019057457,0.00028910374,0.000661643,5.006564e-05,1.5749e-05
CA*BV,-0.37086276962501286,0.025370298,2.156730772563334e-48,-0.0004674502,-0.00015493325,-0.00012316137,-2.1220725e-05,-6.6006614e-05,-2.051224e-06,2.2262979e-05,-0.00012668098,-0.0003417286,0.00043269253,0.00045967317,0.0012174166,0.000643652,0.005385733,0.00079014956,0.0004116567,7.158099e-05,0.00013244124,0.00013064753,0.00010883611,0.0001593187,0.00047436025,-0.00031683757,3.4406563e-05,0.00014457018,9.702795e-05,0.00013094864,3.232296e-05,0.00011845438,2.9039773e-05,-0.00023695116,-2.8514938e-05,-2.327819e-05,1.2015862e-05,1.3536162e-05,4.0599924e-05,9.031209e-06,-0.00010704357,3.8986567e-05,2.3245505e-06,0.00025244165,4.61715e-05,5.5747885e-05,0.00014192861,6.763244e-05,0.00024462186,-0.000695106,-2.1546259e-05,-5.3044423e-05,-4.070991e-06,-3.27998e-06,-2.847086e-05,-4.585585e-05,0.00012596049,-9.969422e-06,-2.4295003e-05,-3.2407881e-06,-0.000121857476,-3.1022802e-05,-6.7456145e-05,-4.5592045e-05,-0.0004710416,5.2589116e-06,-3.0887608e-05,8.208018e-05,0.00011245454,0.00011298749,0.0003193235,0.00018036926,0.0001924537,3.8391627e-05,4.2996504e-05
CA*CS,5.3352772352313,0.76154166,2.4542044651598226e-12,-0.007190048,0.0003188129,0.00094421185,-0.0004026232,0.00019373749,-0.0020766188,0.00050750206,-0.00044547784,-0.04594837,0.0050026216,0.0079329135,0.021846002,0.005385733,0.5799457,0.023674048,0.0023520284,0.0028652472,-0.0005390761,-0.00020910216,0.002942984,-0.00049104774,0.0366738,-0.008916114,0.0021485232,0.0014464865,-0.00091559015,-0.00084328617,0.00094116054,-0.00033375548,0.003239719,-0.016861398,-0.00013712849,-0.00020646975,0.0004821209,0.0005020053,0.0004443153,0.00036157083,-0.0008115542,0.0011736049,0.0010455846,0.005362914,-0.0003524104,-0.00015370884,0.0035668588,-0.0006820313,0.03271155,-0.02055688,-0.002080521,0.0023039419,0.0020685906,0.0020771383,0.0045861355,0.0017414165,0.0047748247,0.0049304115,0.004184306,-0.00018117238,-0.0010727164,-0.00035265417,-0.0013345269,-4.842256e-05,-0.017596873,0.00058340613,-0.0007904667,-0.0034439922,0.00054927496,0.00024030825,0.0031807479,0.00011996542,0.00986219,-0.00692779,0.0031221623
CA*DP,-0.06701229741072631,0.08249363,0.416600600620157,-0.00071404653,-0.00011678395,-5.9313294e-05,-2.3679837e-05,-5.8398993e-05,-4.8105667e-05,1.5602078e-05,-0.000111089845,-0.004109567,0.0006400754,0.00079916144,0.0023343053,0.00079014956,0.023674048,0.006805199,0.00046303854,4.5378296e-05,9.049567e-05,0.000109133936,0.0003004279,0.00011420203,0.0013126748,-0.00034875795,9.685733e-05,6.015741e-05,4.5822228e-05,5.8834463e-05,0.0001573044,7.0701426e-05,-4.9670893e-05,-0.00029202315,-5.6435645e-05,1.3946559e-05,1.6683616e-05,2.6806334e-05,-1.0701102e-06,1.3437777e-05,0.00014476442,8.753599e-05,-5.894055e-05,0.00020268909,4.0755767e-05,5.173099e-05,0.00030352804,2.5190457e-05,0.0012089517,-0.000593297,-0.00012833325,6.641637e-05,3.9851893e-05,5.3568092e-05,8.704675e-05,1.7437369e-05,0.00017839925,-0.00012548565,0.00016879229,-2.2187729e-05,-2.1369837e-05,-1.4459916e-05,-7.514607e-05,-2.4499688e-05,-0.00040475602,4.3782446e-05,-4.740292e-05,-0.00036240584,0.00010632394,9.737379e-05,8.8661865e-05,7.218494e-05,0.00029946698,0.00059027737,0.0001689663
CA*CH,-0.1866543291708867,0.058758035,0.001489813327202816,-0.00059358205,-0.00019420909,-0.00015406645,-4.2503725e-05,-6.898135e-05,-1.1236419e-05,1.4357954e-05,-0.0001525953,3.389919e-05,0.00056898425,0.0005427748,0.0014347252,0.0004116567,0.0023520284,0.00046303854,0.0034525068,5.4698492e-05,0.00016774287,0.00015941869,0.0001797907,0.00015765741,2.0038002e-05,-0.00027964442,0.00068562635,0.00018804356,0.00012465975,0.00014872738,0.0001087461,0.00010438675,-4.309065e-06,-0.00019383898,0.000454852,2.7523798e-05,3.147774e-05,2.9970852e-05,4.5016688e-05,4.360938e-05,0.0001917154,0.00013510846,7.818292e-05,0.00018305419,5.1914376e-05,4.4107568e-05,0.00029622202,2.9090303e-05,-0.00096461043,-0.00053151656,0.00056346867,2.2672652e-05,1.7385266e-06,8.335054e-06,-2.3804769e-06,2.4677023e-05,8.543619e-05,0.00015054709,-0.00033309564,-1.3058294e-05,-0.00012966119,-2.2783177e-05,-4.3017717e-05,-4.062513e-06,-0.00045458353,1.418672e-05,-2.5562971e-05,0.00082864263,0.00012888253,0.00011104798,0.00014931946,0.00012064703,9.52942e-05,-7.2066614e-06,0.0006804323
BT*CA,-1.154006185514264,0.18775983,7.936997291223069e-10,-0.0001142485,-0.0020159814,-0.0011139333,-0.0003421494,-0.0005173938,-0.0001629859,9.2389695e-05,-0.00045008503,0.00012735913,0.0010916621,0.00018396825,0.00010595569,7.158099e-05,0.0028652472,4.5378296e-05,5.4698492e-05,0.035253756,0.0013227321,0.0015298132,0.0051683686,0.0036925436,0.0066940193,0.004727423,0.005973979,0.0076174596,0.0008745437,0.0009853487,0.0015655396,0.000795519,0.00058783207,-0.012624712,0.00092361635,0.00052585,7.019346e-05,0.00024331364,0.00061289483,0.0002071933,0.00023464144,0.00038553498,0.00028795894,0.004064785,0.00046379247,0.00039796325,0.0009429822,0.000227082,-0.0063668345,0.0008410169,0.0008264862,0.00032890603,5.5661767e-05,0.00010661196,0.00021896137,0.000147332,0.0006441445,0.00019745508,-3.082379e-05,0.00044690567,0.002483685,-0.00019002901,-0.00045894185,-0.00010728679,-0.0013134509,0.00010654552,-0.0006030298,0.0012907481,0.00036459725,0.00031121774,0.00048268476,0.0005286235,-0.0008636968,0.0032529905,2.4818108e-05
BT*BT,-1.5466409296453758,0.053197853,7.79576149165125e-186,-0.00026585686,-0.0031362157,-0.0027226084,-0.0006554133,-0.0011702222,-0.000291627,-0.00021115351,-0.00094468327,0.0007751981,0.00016442615,0.00012934544,0.00028946795,0.00013244124,-0.0005390761,9.049567e-05,0.00016774287,0.0013227321,0.0028300115,0.002546812,0.0008077819,0.0032470922,0.004083177,0.0052203774,-0.0017749858,-0.00017746525,0.0022914086,0.0028083504,8.722509e-05,0.0023490232,-3.4393255e-05,0.010521144,-0.0024922169,0.00046157977,0.00044775908,0.0004570917,0.0012708614,0.00045489316,0.0010514858,0.00088417757,0.00049457897,0.0009060927,0.0009172292,0.0008649907,0.0012529687,0.000932293,0.0012437777,0.007372823,0.0011640799,0.00021282586,0.00018397189,0.00018987957,0.00048605955,0.00022811395,0.00095434836,0.00045315502,2.343496e-05,0.000114693175,-0.00037705392,2.5241885e-05,0.00052392273,5.713691e-05,0.0022938582,0.00014628895,0.00075505895,0.00062236324,0.0006064687,0.0006792765,0.0010462338,0.0008396211,0.0005344094,0.0066472637,0.0006212502
BT*BU,-1.4381057637498542,0.053476933,2.718688313265252e-159,-0.0002611373,-0.002942668,-0.0024089885,-0.0006041597,-0.0010830114,-0.0002705643,-0.00017858962,-0.00087297976,0.0006773789,0.0001467996,0.0001640729,0.00031213858,0.00013064753,-0.00020910216,0.000109133936,0.00015941869,0.0015298132,0.002546812,0.0028597824,0.0009904801,0.0029059034,0.0047275973,0.0051798304,-0.0014793305,-2.0123638e-05,0.0020846634,0.0025255168,2.2797352e-05,0.0021292414,0.00047288023,0.008653402,-0.0023863781,0.00042294714,0.0004046466,0.00043667902,0.0011693891,0.00041814416,0.0009624435,0.00081371795,0.0004418201,0.00087722583,0.0007976205,0.0008643177,0.00109099,0.0008707936,0.00049162103,0.006780452,0.00096166023,0.00019567323,0.00016563317,0.00019293808,0.0004528053,0.00020981416,0.00087128626,0.000418152,-9.28474e-06,9.34198e-05,0.00033457726,3.0010971e-05,0.00041291676,3.8117047e-05,0.0018956919,0.0001732784,0.0006256639,0.00061336067,0.00053273665,0.0006784734,0.0009937675,0.0007795603,0.0003954239,0.00620635,0.0004534364
BT*CD,-0.2630735700070342,0.14300363,0.06582277568673582,-0.00014243639,-0.0014138044,-0.00017730576,-0.00025761942,-0.00039380864,-0.00012530373,-0.00024626823,-0.00033030953,-0.0003609544,0.00011625036,0.00015531288,0.00048706844,0.00010883611,0.002942984,0.0003004279,0.0001797907,0.0051683686,0.0008077819,0.0009904801,0.020450037,0.0025592276,0.028381066,0.010266269,0.013593014,0.0017500264,0.00029449473,-0.00048737862,0.0046178508,0.00028368796,-0.000249337,0.0007326641,0.005733298,0.00014528217,0.00023918228,0.00023066967,0.0004971747,0.00021530429,0.00060450047,0.0004021887,0.00030109202,0.0010647686,0.00032846647,0.00033559173,0.0026352631,7.381302e-05,-0.00035129118,0.0002465547,0.0014036711,2.540579e-05,0.0001010699,8.819305e-05,0.00029824974,0.000107554355,-5.9537688e-05,0.00015367611,0.00020883336,0.00019875035,0.0071595646,0.00019010248,0.0011313341,0.00014247498,0.0017770488,-0.00058567576,0.0006321743,0.00065361377,0.00039334534,0.0002946765,-0.0001487861,0.00016580641,0.0001703893,-0.003178685,0.000861983
BT*BV,-1.6806296338945306,0.090999916,3.704040555124422e-76,-0.00027808815,-0.0037980427,-0.0028884844,-0.0006869416,-0.0012112795,-0.000305325,-0.00021820706,-0.0009685063,0.0007557735,0.00015478706,0.0001314706,0.0003220058,0.0001593187,-0.00049104774,0.00011420203,0.00015765741,0.0036925436,0.0032470922,0.0029059034,0.0025592276,0.008280984,0.008571873,0.0074438355,0.0012770372,-0.00052404776,0.002378642,0.0029979919,-0.0002914741,0.00316991,-0.0028369145,0.011923043,-0.0036903322,0.0004681279,0.00043423168,0.00046965602,0.0013313763,0.00052126346,0.0011498168,0.0009272529,0.00048248516,0.0010527744,0.0011314219,0.00095140625,0.0014970433,0.00097575516,0.0018775096,0.00964147,0.0010063692,0.00021092163,0.00017792033,0.00019784243,0.0005184531,0.0002666654,0.0009522806,0.00048392278,-4.0035542e-05,6.783191e-05,0.00048733028,1.4144629e-05,0.00050820725,0.00018732375,0.0025176636,0.00021240576,0.00072739617,0.00025505506,0.00061834534,0.0007162918,0.0012191621,0.0009542284,0.00054934516,0.0074012848,0.0003670594
BT*CS,-1.6400103404556565,0.6251429,0.008705269299616653,-0.00064882316,-0.006647523,-0.0019441077,0.00012164491,-0.0004607092,4.0828385e-05,1.6065722e-05,-0.0010005519,-0.0018212948,0.0002832236,0.00040599288,0.001433214,0.00047436025,0.0366738,0.0013126748,2.0038002e-05,0.0066940193,0.004083177,0.0047275973,0.028381066,0.008571873,0.39080358,0.05670164,0.014994635,-0.002603817,0.0011500858,0.002458697,-0.0025416357,-8.0071215e-05,0.121240385,-0.021895967,-0.007618733,-7.966876e-05,-0.0005773248,-0.00017984306,-0.00038492942,-0.000104524945,0.0018051973,-0.00011140569,-3.945984e-06,-0.0038523425,5.915921e-05,1.1603001e-07,-0.0025370994,0.0005200637,0.08397735,-0.020922057,-0.0027134328,1.4283335e-05,0.00037282132,1.0409203e-05,-0.0002114121,-9.957836e-06,0.0011467534,7.998685e-05,-0.00039227793,-0.00035584136,0.019232279,-0.00018521589,-0.00076928234,-0.00057908276,0.020697493,0.00032108655,-0.0013865405,-0.00870544,0.0011502795,0.00058713637,0.0034751773,0.0004857409,0.008064058,0.0035294944,0.006455319
